Alpha,Algo,F1,CIT,Time
0.0001,DF-PC (Pure),0.9574588585964335,1651.0,0.2141956329345703
0.0001,Standard PC,0.9574588585964335,2373.4,0.3296923875808716
0.001,DF-PC (Pure),0.9539765546399606,1701.2,0.23842110633850097
0.001,Standard PC,0.9550891713216829,2485.6,0.31726243495941164
0.01,DF-PC (Pure),0.9424463785236142,1769.4,0.28601195812225344
0.01,Standard PC,0.9543874643874645,2674.9,0.4204287528991699
0.05,DF-PC (Pure),0.8686153959173197,1976.4,0.34248521327972414
0.05,Standard PC,0.931369142801721,3090.0,0.4408745765686035
