Case,Algo,F1,CIT,Time
Collider-Hub,DF-PC (Pure),0.9952380952380953,55.3,0.1251542329788208
Collider-Hub,Standard PC,0.9952380952380953,5165.1,0.5863069295883179
Source-Hub,DF-PC (Pure),0.9952380952380953,5210.8,0.8258802890777588
Source-Hub,Standard PC,0.9952380952380953,5210.8,0.5416319370269775
