Nodes,Samples,Deg,Graph,Rep,Algo,F1,Prec,Rec,SHD,Actual_CIT,Cond_CIT,Requests,Time_Total
100,1000,2,er,22,Standard PC,0.9206349206349206,0.9775280898876404,0.87,15.0,12943,7993,21303,2.0441701412200928
100,1000,2,er,22,DF-PC (Pure),0.9263157894736842,0.9777777777777777,0.88,14.0,9705,4755,21325,1.9716832637786865
100,1000,2,er,23,Standard PC,0.9375,0.9782608695652174,0.9,12.0,9196,4246,15688,1.4277198314666748
100,1000,2,er,23,DF-PC (Pure),0.9285714285714285,0.9479166666666666,0.91,14.0,7980,3030,16457,1.6674978733062744
100,1000,2,er,24,Standard PC,0.9583333333333334,1.0,0.92,8.0,9500,4550,16391,1.0177652835845947
100,1000,2,er,24,DF-PC (Pure),0.9538461538461539,0.9789473684210527,0.93,9.0,7490,2540,16567,1.0776088237762451
100,1000,2,er,25,Standard PC,0.9743589743589743,1.0,0.95,5.0,9764,4814,17158,1.175931453704834
100,1000,2,er,25,DF-PC (Pure),0.9693877551020408,0.9895833333333334,0.95,6.0,8004,3054,17258,1.2015438079833984
100,1000,2,er,26,Standard PC,0.9010989010989011,1.0,0.82,18.0,9148,4198,15695,1.245328664779663
100,1000,2,er,26,DF-PC (Pure),0.9081081081081082,0.9882352941176471,0.84,17.0,7343,2393,15781,1.0699424743652344
100,1000,2,er,27,Standard PC,0.9847715736040609,1.0,0.97,3.0,10134,5184,16945,1.1118009090423584
100,1000,2,er,27,DF-PC (Pure),0.9748743718592964,0.9797979797979798,0.97,5.0,7877,2927,17028,1.125192642211914
100,1000,2,er,28,Standard PC,0.9690721649484536,1.0,0.94,6.0,7587,2637,13330,0.9610354900360107
100,1000,2,er,28,DF-PC (Pure),0.9696969696969697,0.9795918367346939,0.96,6.0,6110,1160,13401,0.9299716949462891
100,1000,2,er,29,Standard PC,0.9473684210526316,1.0,0.9,10.0,9360,4410,16103,1.182983636856079
100,1000,2,er,29,DF-PC (Pure),0.9473684210526316,1.0,0.9,10.0,7290,2340,16200,1.0554842948913574
100,1000,2,sf,0,Standard PC,0.8333333333333333,0.9848484848484849,0.7222222222222222,26.0,7735,2785,13105,0.9849770069122314
100,1000,2,sf,0,DF-PC (Pure),0.8220858895705521,0.9178082191780822,0.7444444444444445,29.0,5798,848,13698,0.9326634407043457
100,1000,2,sf,1,Standard PC,0.9056603773584905,0.9863013698630136,0.8372093023255814,15.0,7126,2176,12362,0.8721928596496582
100,1000,2,sf,1,DF-PC (Pure),0.8957055214723927,0.948051948051948,0.8488372093023255,17.0,5949,999,13697,0.7901327610015869
100,1000,2,sf,2,Standard PC,0.9105691056910568,0.9824561403508771,0.8484848484848485,11.0,10394,5444,15468,1.431283712387085
100,1000,2,sf,2,DF-PC (Pure),0.888888888888889,0.9333333333333333,0.8484848484848485,14.0,5105,155,15482,0.8620641231536865
100,1000,2,sf,3,Standard PC,0.8941176470588236,0.987012987012987,0.8172043010752689,18.0,10114,5164,15396,1.3505587577819824
100,1000,2,sf,3,DF-PC (Pure),0.9017341040462428,0.975,0.8387096774193549,17.0,5367,417,15797,0.9310016632080078
100,1000,2,sf,4,Standard PC,0.8263473053892215,1.0,0.7040816326530612,29.0,7466,2516,12935,1.12321138381958
100,1000,2,sf,4,DF-PC (Pure),0.8342857142857143,0.948051948051948,0.7448979591836735,29.0,5750,800,13609,0.7382113933563232
100,1000,2,sf,5,Standard PC,0.8903225806451612,1.0,0.8023255813953488,17.0,14062,9112,19289,2.484585762023926
100,1000,2,sf,5,DF-PC (Pure),0.8875000000000001,0.9594594594594594,0.8255813953488372,18.0,6197,1247,19515,2.047881603240967
100,1000,2,sf,6,Standard PC,0.8662420382165604,1.0,0.7640449438202247,21.0,6179,1229,11414,0.8148958683013916
100,1000,2,sf,6,DF-PC (Pure),0.8695652173913043,0.9722222222222222,0.7865168539325843,21.0,5348,398,11568,0.8080959320068359
100,1000,2,sf,7,Standard PC,0.8421052631578948,1.0,0.7272727272727273,24.0,6914,1964,12309,0.8094344139099121
100,1000,2,sf,7,DF-PC (Pure),0.8250000000000001,0.9166666666666666,0.75,28.0,5869,919,13111,0.8968608379364014
100,1000,2,sf,8,Standard PC,0.8452380952380951,1.0,0.7319587628865979,26.0,6569,1619,11995,0.7281146049499512
100,1000,2,sf,8,DF-PC (Pure),0.8604651162790696,0.9866666666666667,0.7628865979381443,24.0,5611,661,12259,0.7546515464782715
100,1000,2,sf,9,Standard PC,0.8382352941176471,0.9827586206896551,0.7307692307692307,22.0,6160,1210,11436,0.7911534309387207
100,1000,2,sf,9,DF-PC (Pure),0.8467153284671532,0.9830508474576272,0.7435897435897436,21.0,5373,423,11535,0.7229738235473633
100,1000,2,sf,10,Standard PC,0.8333333333333333,0.9859154929577465,0.7216494845360825,28.0,7985,3035,13514,0.9386031627655029
100,1000,2,sf,10,DF-PC (Pure),0.8372093023255813,0.96,0.7422680412371134,28.0,6188,1238,14178,0.8342602252960205
100,1000,2,sf,11,Standard PC,0.9390243902439025,1.0,0.8850574712643678,10.0,6865,1915,12092,1.267914056777954
100,1000,2,sf,11,DF-PC (Pure),0.9349112426035503,0.9634146341463414,0.9080459770114943,11.0,5629,679,12362,1.223228931427002
100,1000,2,sf,12,Standard PC,0.7848101265822786,0.9841269841269841,0.6526315789473685,34.0,7084,2134,12467,0.8811407089233398
100,1000,2,sf,12,DF-PC (Pure),0.8313253012048194,0.971830985915493,0.7263157894736842,28.0,5661,711,14894,1.0890984535217285
100,1000,2,sf,13,Standard PC,0.8700564971751413,0.9871794871794872,0.7777777777777778,23.0,16761,11811,22094,2.322845697402954
100,1000,2,sf,13,DF-PC (Pure),0.8852459016393442,0.9642857142857143,0.8181818181818182,21.0,5932,982,24120,2.2727925777435303
100,1000,2,sf,14,Standard PC,0.8947368421052632,1.0,0.8095238095238095,16.0,14487,9537,19751,1.9452180862426758
100,1000,2,sf,14,DF-PC (Pure),0.9,0.9473684210526315,0.8571428571428571,16.0,5983,1033,23893,1.5378336906433105
100,1000,2,sf,15,Standard PC,0.9500000000000001,1.0,0.9047619047619048,8.0,8258,3308,13349,1.0029816627502441
100,1000,2,sf,15,DF-PC (Pure),0.9759036144578312,0.9878048780487805,0.9642857142857143,4.0,5153,203,17917,0.9210524559020996
100,1000,2,sf,16,Standard PC,0.8741721854304635,0.9705882352941176,0.7951807228915663,19.0,9132,4182,14336,1.3683571815490723
100,1000,2,sf,16,DF-PC (Pure),0.8789808917197452,0.9324324324324325,0.8313253012048193,19.0,5412,462,17496,1.24284029006958
100,1000,2,sf,17,Standard PC,0.8552631578947368,0.9701492537313433,0.7647058823529411,22.0,11411,6461,16835,1.3802006244659424
100,1000,2,sf,17,DF-PC (Pure),0.8589743589743589,0.9436619718309859,0.788235294117647,22.0,6212,1262,23253,2.708214282989502
100,1000,2,sf,18,Standard PC,0.975609756097561,1.0,0.9523809523809523,4.0,9175,4225,14295,1.196866750717163
100,1000,2,sf,18,DF-PC (Pure),0.9647058823529412,0.9534883720930233,0.9761904761904762,6.0,5763,813,18402,1.5502817630767822
100,1000,2,sf,19,Standard PC,0.9559748427672956,0.9620253164556962,0.95,7.0,13664,8714,18769,2.3515143394470215
100,1000,2,sf,19,DF-PC (Pure),0.9500000000000001,0.95,0.95,8.0,5266,316,18770,1.4611554145812988
100,1000,2,sf,20,Standard PC,0.7973856209150326,1.0,0.6630434782608695,31.0,7224,2274,12720,1.0827305316925049
100,1000,2,sf,20,DF-PC (Pure),0.8074534161490684,0.9420289855072463,0.7065217391304348,31.0,5863,913,17054,1.5553462505340576
100,1000,2,sf,21,Standard PC,0.9139072847682119,0.971830985915493,0.8625,13.0,8491,3541,13649,1.3535587787628174
100,1000,2,sf,21,DF-PC (Pure),0.9090909090909091,0.9459459459459459,0.875,14.0,5261,311,13791,1.2092106342315674
100,1000,2,sf,22,Standard PC,0.8533333333333333,1.0,0.7441860465116279,22.0,7009,2059,12389,1.6279139518737793
100,1000,2,sf,22,DF-PC (Pure),0.8758169934640523,1.0,0.7790697674418605,19.0,5530,580,13999,1.349517822265625
100,1000,2,sf,23,Standard PC,0.7843137254901961,1.0,0.6451612903225806,33.0,6245,1295,11767,1.375821828842163
