Dataset,Nodes,Samples,Algo,F1_mean,F1_ci95,Prec_mean,Prec_ci95,Rec_mean,Rec_ci95,SHD_mean,SHD_ci95,Actual_CIT_mean,Actual_CIT_ci95,Cond_CIT_mean,Cond_CIT_ci95,Requests_mean,Requests_ci95,Time_Total_mean,Time_Total_ci95
barley,48,2000,DF-PC (Pure),0.6693590255067356,0.007998529589591023,0.9057064983672342,0.012265054202818886,0.5313492063492063,0.008333231161570337,44.06666666666667,1.0030829412232969,4904.9,77.78482457793868,3776.9,77.78482457793868,10669.933333333332,156.13132752051396,1.1356231133143107,0.023717796355154905
barley,48,2000,Standard PC,0.6780567270700479,0.006661208332854558,0.968793940073056,0.00921536111635442,0.5218253968253969,0.006812735675951253,41.6,0.7726535260156183,6675.066666666667,103.29053726053942,5547.066666666667,103.29053726053942,10018.266666666666,137.84505617684832,1.3669596354166667,0.04168201247867588
barley,48,5000,DF-PC (Pure),0.7504335312909322,0.006592034621970409,0.9304585608537045,0.00934848199087065,0.6293650793650795,0.008573822366377791,35.13333333333333,0.8547747882906456,8404.033333333333,151.4247208531551,7276.033333333334,151.4247208531551,16892.5,266.9477381974525,2.173767360051473,0.05528595445839837
barley,48,5000,Standard PC,0.7578960687981929,0.006670245920527044,0.9739357618415497,0.004714152794512035,0.6206349206349207,0.008426579206426515,33.266666666666666,0.7802361760527744,11007.633333333333,173.98542795880252,9879.633333333333,173.98542795880252,16162.266666666666,236.19073471415481,2.630439798037211,0.05721801825303807
mildew,35,2000,DF-PC (Pure),0.7908437637769677,0.013331656612198792,0.8936107480302529,0.016555737042100893,0.7101449275362317,0.014055204084287017,17.266666666666666,1.0875663999634695,2105.133333333333,54.54974345680339,1510.1333333333334,54.5497434568034,4553.833333333333,98.4034290045156,2.214358441034953,0.5536918964218696
mildew,35,2000,Standard PC,0.7704381004538624,0.010589222415845,0.9445188600546678,0.014097286626365405,0.6514492753623188,0.012169306141478722,17.833333333333332,0.7867175124810968,2504.0333333333333,65.43795074450183,1909.0333333333333,65.43795074450183,4248.8,86.13473680362577,2.6509591499964396,0.6358850584579152
mildew,35,5000,DF-PC (Pure),0.854361117919478,0.007990631837137604,0.9320176707339736,0.009613646051205186,0.7891304347826088,0.009829447533136512,12.366666666666667,0.6677062698786412,2838.9666666666667,49.73962196782275,2243.9666666666667,49.73962196782275,5964.333333333333,94.79074090936095,4.097766908009847,0.7627554448907572
mildew,35,5000,Standard PC,0.8493014092410385,0.006474138246065446,0.9736468203650864,0.010166442578133284,0.7536231884057972,0.007734410380939415,12.3,0.5328462718507914,3521.7,60.583594642956506,2926.7,60.583594642956506,5670.333333333333,78.75875656381916,4.699219187100728,0.8819702704992873
