Nodes,Samples,Deg,Graph,Data,Algo,F1_mean,F1_ci95,Prec_mean,Prec_ci95,Rec_mean,Rec_ci95,SHD_mean,SHD_ci95,Requests_mean,Requests_ci95,Actual_CIT_mean,Actual_CIT_ci95,Cond_CIT_mean,Cond_CIT_ci95,Performed_CITs_mean,Performed_CITs_ci95,Bypassed_CITs_mean,Bypassed_CITs_ci95,Time_Total_mean,Time_Total_ci95,Time_CIT_mean,Time_CIT_ci95,Time_Overhead_mean,Time_Overhead_ci95
20,5000,4,er,discrete,DF-PC (Pure),0.6507515776401483,0.02544013558812494,0.937833783940393,0.020615792638940506,0.5016666666666667,0.02759218335644135,21.266666666666666,1.2605708370611473,604.4,56.303584421940855,196.83333333333334,2.6928059686272108,6.833333333333333,2.6928059686272103,196.83333333333334,2.6928059686272108,407.56666666666666,54.65785826484255,0.052938683827718096,0.0019420774911111194,0.04459678332010905,0.0010497427251235422,0.00834190050760905,0.0012614336058923118
20,5000,4,er,discrete,PC with deduce-dep,0.5502830428915518,0.02998182748299077,0.9866623824518561,0.009833857710599603,0.38583333333333336,0.028743402374747297,24.766666666666666,1.1837966326328817,498.56666666666666,19.428637016180865,318.43333333333334,25.067272627794363,128.43333333333334,25.067272627794363,318.43333333333334,25.067272627794363,180.13333333333333,7.061087991015141,0.0873295545578003,0.007775385761337705,0.08239876429239909,0.007510213526290164,0.0049307902654012045,0.00026906161917050937
20,5000,4,er,discrete,Standard PC,0.5068645973932944,0.027246464989700275,0.9872329059829059,0.010451819094007836,0.3441666666666667,0.02493912972761642,26.4,1.0405349640902284,490.06666666666666,16.093836208086636,295.6666666666667,15.264278285293452,105.66666666666667,15.264278285293452,295.6666666666667,15.264278285293452,194.4,1.2973970049702392,0.07935044765472413,0.004885271665682397,0.07493546803792318,0.004755275836885941,0.004414979616800944,0.0001400941835241903
20,5000,4,er,linear_sem,DF-PC (Pure),0.6718261199148157,0.024010413621669082,0.8332073747824662,0.024679964713333117,0.5650000000000001,0.025907066448249652,21.933333333333334,1.4826989163779516,6142.6,457.0616841958074,3514.4333333333334,323.4729805451196,3324.4333333333334,323.4729805451196,3514.4333333333334,323.4729805451196,2628.1666666666665,141.651992196298,1.2859806776046754,0.25146096953460945,1.1907027959823608,0.24582512147337993,0.09527788162231446,0.0077848930907060175
20,5000,4,er,linear_sem,PC with deduce-dep,0.6718533239971121,0.024034807810308183,0.8335217678504825,0.02538807546795823,0.5650000000000001,0.025907066448249652,21.933333333333334,1.4886432095582824,6120.566666666667,454.1377807505583,4247.933333333333,291.4726915127485,4057.9333333333334,291.4726915127485,4247.933333333333,291.4726915127485,1872.6333333333334,185.21167331929104,1.5304596424102783,0.37284387673766645,1.5014100233713785,0.3708130282904523,0.02904961903889974,0.002446212637377458
20,5000,4,er,linear_sem,Standard PC,0.6711258107695988,0.024263883344405462,0.8332802219567627,0.025392726728150256,0.5641666666666667,0.026233464779352,21.966666666666665,1.4961879325478853,6117.5,453.49252514895653,4218.433333333333,290.47486218929976,4028.4333333333334,290.47486218929976,4218.433333333333,290.47486218929976,1899.0666666666666,185.18629163965954,1.2658035675684611,0.18027994551026028,1.238591162363688,0.1781493960336024,0.02721240520477295,0.002602043681566099
20,5000,4,sf,discrete,DF-PC (Pure),0.4477083760578305,0.030606464303647534,0.9092428921840686,0.024259927915346705,0.3008988519650284,0.025544898271402734,25.833333333333332,1.021188099274378,413.73333333333335,7.888810509135211,191.0,0.763454941876639,1.0,0.763454941876639,191.0,0.763454941876639,222.73333333333332,7.4400118485465745,0.03497165044148763,0.0036047187121145455,0.03113867441813151,0.0032078611175523483,0.0038329760233561196,0.0004046031105214454
20,5000,4,sf,discrete,PC with deduce-dep,0.40875264835239566,0.029426285567598798,0.9796151996151996,0.017113981244768487,0.2610631879014232,0.022742840891002616,26.333333333333332,0.9413130146613724,405.96666666666664,4.994372735304913,215.83333333333334,5.12493084524878,25.833333333333332,5.12493084524878,215.83333333333334,5.12493084524878,190.13333333333333,0.6214665142648399,0.040083781878153486,0.0048830107451087335,0.037134869893391924,0.004581141986659433,0.002948911984761556,0.0003057703861214414
20,5000,4,sf,discrete,Standard PC,0.4033291616589209,0.027890319632811494,0.9796151996151996,0.017113981244768487,0.2564335582717936,0.021363933627554656,26.5,0.9050413085130106,405.76666666666665,4.798868710874945,215.06666666666666,4.49994449348483,25.066666666666666,4.49994449348483,215.06666666666666,4.49994449348483,190.7,0.5571525307568256,0.04112701416015625,0.004802594431533685,0.03826521237691243,0.0045157554473049324,0.002861801783243815,0.00029043085691549304
20,5000,4,sf,linear_sem,DF-PC (Pure),0.7288292914639144,0.03163097793844773,0.8687549085044127,0.02785928993249556,0.6308005298078826,0.03473291829209811,16.433333333333334,1.7797829477203586,3802.233333333333,334.4980908967163,1636.6333333333334,183.89720797398843,1446.6333333333334,183.89720797398843,1636.6333333333334,183.89720797398843,2165.6,234.69843739426634,0.5314016421635945,0.11221296289882245,0.45960203806559247,0.1105473942581397,0.07179960409800211,0.01081689525067995
20,5000,4,sf,linear_sem,PC with deduce-dep,0.7302462252337458,0.031288872027894314,0.8775819842729053,0.025453586547884828,0.6289486779560308,0.03535042719247462,16.233333333333334,1.7217747415200393,3744.2,321.65200790888287,3042.9333333333334,298.07293283823884,2852.9333333333334,298.07293283823884,3042.9333333333334,298.07293283823884,701.2666666666667,71.25626553606072,0.6898502190907796,0.11979267351187219,0.672628116607666,0.11865029736703343,0.017222102483113608,0.0014749443215477033
