Nodes,Deg,ErrorRate,Algo,F1_mean,F1_ci95,Prec_mean,Prec_ci95,Rec_mean,Rec_ci95,SHD_mean,SHD_ci95,Requests_mean,Requests_ci95,Performed_CITs_mean,Performed_CITs_ci95,Bypassed_CITs_mean,Bypassed_CITs_ci95
20,3,0.0,DF-PC (Pure),1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8346.866666666667,932.0887047989218,4765.066666666667,651.6124144733943,3581.8,319.84756532771814
20,3,0.0,Standard PC,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8346.866666666667,932.0887047989218,8346.866666666667,932.0887047989218,0.0,0.0
20,3,0.01,DF-PC (Pure),0.887623586721504,0.031471009941314146,0.8771094603727267,0.036278117930864134,0.9,0.028538374603889565,6.933333333333334,1.997784458667906,7420.866666666667,982.9504938125702,4145.733333333334,717.2598813035418,3275.133333333333,436.0175723074223
20,3,0.01,Standard PC,0.8628507506129863,0.035529975925428385,0.8751165319732245,0.03727794778996177,0.8533333333333334,0.03714350205045505,8.133333333333333,2.107076404210364,6553.4,956.9382512016027,6553.4,956.9382512016027,0.0,0.0
20,3,0.05,DF-PC (Pure),0.5730179406396189,0.03683437759600244,0.561419707902601,0.03940057386419548,0.5900000000000001,0.039018096466278976,26.433333333333334,2.391623453492422,3932.9666666666667,408.11681785605236,1907.0666666666666,232.46588381357392,2025.9,193.02865392296127
20,3,0.05,Standard PC,0.515997574234049,0.03204278624754081,0.6009246267121409,0.044376617167532904,0.4555555555555556,0.027007351221630647,25.8,1.9609009423596917,2531.5,168.90095895415212,2531.5,168.90095895415212,0.0,0.0
20,3,0.1,DF-PC (Pure),0.43315796662538125,0.039393420658287076,0.4593210177038992,0.042366832150408706,0.4155555555555556,0.04187867818681937,32.43333333333333,2.299376173937625,2329.0,159.02819917364906,997.7,77.68716898510034,1331.3,93.02452897433315
20,3,0.1,Standard PC,0.2902360702907834,0.03547914240634535,0.5314495390230685,0.06312305282513447,0.2033333333333334,0.027010378781891442,29.5,1.4275203160983605,1660.0666666666666,80.48408332534021,1660.0666666666666,80.48408332534021,0.0,0.0
20,3,0.2,DF-PC (Pure),0.24064400839629146,0.03489353903224637,0.3202591482193044,0.03177247601449932,0.19777777777777777,0.035013002267715684,35.833333333333336,0.9448246609010285,1490.3,41.82693460538028,559.4,20.22262737230453,930.9,31.73488328195867
20,3,0.2,Standard PC,0.07798945798234222,0.022416454218306882,0.5293650793650794,0.11976502892793091,0.04333333333333334,0.013345304970324129,29.766666666666666,0.4573333333333332,1165.1333333333334,44.64799688324016,1165.1333333333334,44.64799688324016,0.0,0.0
