Nodes,Deg,ErrorRate,Rep,Algo,F1,Prec,Rec,SHD,Requests,Performed_CITs,Bypassed_CITs
20,3,0.01,3,Standard PC,0.9655172413793104,1.0,0.9333333333333333,2.0,6722,6722,0
20,3,0.01,4,Standard PC,0.9666666666666667,0.9666666666666667,0.9666666666666667,2.0,7126,7126,0
20,3,0.01,5,Standard PC,0.8771929824561403,0.9259259259259259,0.8333333333333334,7.0,6537,6537,0
20,3,0.01,6,Standard PC,0.8666666666666667,0.8666666666666667,0.8666666666666667,8.0,6109,6109,0
20,3,0.01,7,Standard PC,0.7142857142857142,0.7692307692307693,0.6666666666666666,16.0,3146,3146,0
20,3,0.01,8,Standard PC,0.9333333333333333,0.9333333333333333,0.9333333333333333,4.0,8411,8411,0
20,3,0.01,9,Standard PC,0.7540983606557377,0.7419354838709677,0.7666666666666667,15.0,6538,6538,0
20,3,0.01,10,Standard PC,0.8307692307692307,0.7714285714285715,0.9,11.0,7687,7687,0
20,3,0.01,11,Standard PC,0.8852459016393444,0.8709677419354839,0.9,7.0,10514,10514,0
20,3,0.01,12,Standard PC,0.8524590163934426,0.8387096774193549,0.8666666666666667,9.0,8930,8930,0
20,3,0.01,13,Standard PC,0.9666666666666667,0.9666666666666667,0.9666666666666667,2.0,5389,5389,0
20,3,0.01,14,Standard PC,0.8070175438596491,0.8518518518518519,0.7666666666666667,11.0,6372,6372,0
20,3,0.01,15,Standard PC,0.8181818181818182,0.75,0.9,12.0,7251,7251,0
20,3,0.01,16,Standard PC,0.6451612903225806,0.625,0.6666666666666666,22.0,4895,4895,0
20,3,0.01,17,Standard PC,0.8070175438596491,0.8518518518518519,0.7666666666666667,11.0,8690,8690,0
20,3,0.01,18,Standard PC,0.8571428571428571,0.9230769230769231,0.8,8.0,5306,5306,0
20,3,0.01,19,Standard PC,0.9655172413793104,1.0,0.9333333333333333,2.0,4331,4331,0
20,3,0.01,20,Standard PC,0.9655172413793104,1.0,0.9333333333333333,2.0,4028,4028,0
20,3,0.01,21,Standard PC,0.9491525423728815,0.9655172413793104,0.9333333333333333,3.0,9205,9205,0
20,3,0.01,22,Standard PC,0.7666666666666667,0.7666666666666667,0.7666666666666667,14.0,6288,6288,0
20,3,0.01,23,Standard PC,0.7368421052631577,0.7777777777777778,0.7,15.0,4502,4502,0
20,3,0.01,24,Standard PC,1.0,1.0,1.0,0.0,3593,3593,0
20,3,0.01,25,Standard PC,0.8214285714285715,0.8846153846153846,0.7666666666666667,10.0,4288,4288,0
20,3,0.01,26,Standard PC,0.9333333333333333,0.9333333333333333,0.9333333333333333,4.0,4963,4963,0
20,3,0.01,27,Standard PC,0.9180327868852459,0.9032258064516129,0.9333333333333333,5.0,8341,8341,0
20,3,0.01,28,Standard PC,0.8666666666666667,0.8666666666666667,0.8666666666666667,8.0,16711,16711,0
20,3,0.01,29,Standard PC,0.896551724137931,0.9285714285714286,0.8666666666666667,6.0,5733,5733,0
20,3,0.01,0,DF-PC (Pure),0.9666666666666667,0.9666666666666667,0.9666666666666667,2.0,5370,3054,2316
20,3,0.01,1,DF-PC (Pure),0.6875,0.6470588235294118,0.7333333333333333,20.0,7276,4165,3111
20,3,0.01,2,DF-PC (Pure),0.9666666666666667,0.9666666666666667,0.9666666666666667,2.0,3698,1888,1810
20,3,0.01,3,DF-PC (Pure),0.983050847457627,1.0,0.9666666666666667,1.0,7568,4678,2890
20,3,0.01,4,DF-PC (Pure),0.9666666666666667,0.9666666666666667,0.9666666666666667,2.0,7143,4322,2821
20,3,0.01,5,DF-PC (Pure),0.896551724137931,0.9285714285714286,0.8666666666666667,6.0,6958,4104,2854
20,3,0.01,6,DF-PC (Pure),0.870967741935484,0.84375,0.9,8.0,7232,3752,3480
20,3,0.01,7,DF-PC (Pure),0.9152542372881356,0.9310344827586207,0.9,5.0,4453,2167,2286
20,3,0.01,8,DF-PC (Pure),0.9180327868852459,0.9032258064516129,0.9333333333333333,5.0,9026,5443,3583
20,3,0.01,9,DF-PC (Pure),0.8125,0.7647058823529411,0.8666666666666667,12.0,10305,2238,8067
20,3,0.01,10,DF-PC (Pure),0.888888888888889,0.8484848484848485,0.9333333333333333,7.0,10107,5806,4301
20,3,0.01,11,DF-PC (Pure),0.888888888888889,0.8484848484848485,0.9333333333333333,7.0,8659,5442,3217
20,3,0.01,12,DF-PC (Pure),0.870967741935484,0.84375,0.9,8.0,10201,6689,3512
20,3,0.01,13,DF-PC (Pure),0.9354838709677419,0.90625,0.9666666666666667,4.0,6687,3805,2882
20,3,0.01,14,DF-PC (Pure),0.7868852459016393,0.7741935483870968,0.8,13.0,7195,3742,3453
20,3,0.01,15,DF-PC (Pure),0.8749999999999999,0.8235294117647058,0.9333333333333333,8.0,7332,3265,4067
20,3,0.01,16,DF-PC (Pure),0.6349206349206349,0.6060606060606061,0.6666666666666666,23.0,5209,2761,2448
20,3,0.01,17,DF-PC (Pure),0.9180327868852459,0.9032258064516129,0.9333333333333333,5.0,11445,6756,4689
20,3,0.01,18,DF-PC (Pure),0.9,0.9,0.9,6.0,7035,4243,2792
20,3,0.01,19,DF-PC (Pure),0.9491525423728815,0.9655172413793104,0.9333333333333333,3.0,4365,2476,1889
20,3,0.01,20,DF-PC (Pure),0.9666666666666667,0.9666666666666667,0.9666666666666667,2.0,5193,2556,2637
20,3,0.01,21,DF-PC (Pure),0.9491525423728815,0.9655172413793104,0.9333333333333333,3.0,9722,6366,3356
20,3,0.01,22,DF-PC (Pure),0.8524590163934426,0.8387096774193549,0.8666666666666667,9.0,6885,3844,3041
20,3,0.01,23,DF-PC (Pure),0.6984126984126984,0.6666666666666666,0.7333333333333333,19.0,5632,3210,2422
20,3,0.01,24,DF-PC (Pure),0.9836065573770492,0.967741935483871,1.0,1.0,3906,1781,2125
20,3,0.01,25,DF-PC (Pure),0.8421052631578948,0.8888888888888888,0.8,9.0,5216,2587,2629
20,3,0.01,26,DF-PC (Pure),0.9032258064516129,0.875,0.9333333333333333,6.0,5852,3093,2759
20,3,0.01,27,DF-PC (Pure),0.9354838709677419,0.90625,0.9666666666666667,4.0,9158,5363,3795
20,3,0.01,28,DF-PC (Pure),0.9,0.9,0.9,6.0,17213,11687,5526
20,3,0.01,29,DF-PC (Pure),0.9655172413793104,1.0,0.9333333333333333,2.0,6585,3089,3496
20,3,0.05,0,Standard PC,0.4897959183673469,0.631578947368421,0.4,25.0,2153,2153,0
20,3,0.05,1,Standard PC,0.44067796610169496,0.4482758620689655,0.43333333333333335,33.0,3906,3906,0
20,3,0.05,2,Standard PC,0.4814814814814815,0.5416666666666666,0.43333333333333335,28.0,2225,2225,0
20,3,0.05,3,Standard PC,0.3846153846153846,0.45454545454545453,0.3333333333333333,32.0,2630,2630,0
20,3,0.05,4,Standard PC,0.456140350877193,0.48148148148148145,0.43333333333333335,31.0,2610,2610,0
20,3,0.05,5,Standard PC,0.5084745762711865,0.5172413793103449,0.5,29.0,2948,2948,0
20,3,0.05,6,Standard PC,0.5098039215686274,0.6190476190476191,0.43333333333333335,25.0,2335,2335,0
20,3,0.05,7,Standard PC,0.7037037037037038,0.7916666666666666,0.6333333333333333,16.0,2341,2341,0
20,3,0.05,8,Standard PC,0.44067796610169496,0.4482758620689655,0.43333333333333335,33.0,4006,4006,0
20,3,0.05,9,Standard PC,0.6545454545454547,0.72,0.6,19.0,2479,2479,0
20,3,0.05,10,Standard PC,0.4727272727272728,0.52,0.43333333333333335,29.0,2589,2589,0
20,3,0.05,11,Standard PC,0.5555555555555556,0.625,0.5,24.0,2036,2036,0
20,3,0.05,12,Standard PC,0.36666666666666664,0.36666666666666664,0.36666666666666664,38.0,3164,3164,0
20,3,0.05,13,Standard PC,0.576923076923077,0.6818181818181818,0.5,22.0,2437,2437,0
