Nodes,Samples,Deg,Graph,Data,Algo,F1_mean,F1_ci95,Prec_mean,Prec_ci95,Rec_mean,Rec_ci95,SHD_mean,SHD_ci95,Requests_mean,Requests_ci95,Actual_CIT_mean,Actual_CIT_ci95,Cond_CIT_mean,Cond_CIT_ci95,Performed_CITs_mean,Performed_CITs_ci95,Bypassed_CITs_mean,Bypassed_CITs_ci95,Time_Total_mean,Time_Total_ci95,Time_CIT_mean,Time_CIT_ci95,Time_Overhead_mean,Time_Overhead_ci95
30,5000,6,er,discrete,DF-PC (Pure),0.44532182089711,0.01821715255347822,0.9067338050815775,0.018616682390720483,0.29650436953807746,0.015446303528060904,66.03333333333333,1.5340745634693007,1284.5333333333333,110.26892434942889,443.2,3.0063126840072694,8.2,3.0063126840072685,443.2,3.0063126840072694,841.3333333333334,108.67934876140482,0.10940650304158529,0.011341811644763817,0.09173378149668375,0.008822740468290399,0.01767272154490153,0.005537436216416508
30,5000,6,er,discrete,PC with deduce-dep,0.34497446145024957,0.019019151239522244,0.9873522832728311,0.008416428735739783,0.21016229712858928,0.013967415114837456,71.26666666666667,1.2985309943528567,1037.9666666666667,26.145690239494858,623.2666666666667,35.506305423294336,188.26666666666668,35.506305423294336,623.2666666666667,35.506305423294336,414.7,11.644593500552238,0.13044331868489584,0.0191502216757685,0.12195049126942953,0.017882558515654415,0.008492827415466309,0.0013305440562704526
30,5000,6,er,discrete,Standard PC,0.3104693014540706,0.015341177504881464,0.9857250844557347,0.009510866467834292,0.18494382022471917,0.010719543369779896,73.53333333333333,1.0022021423343779,1021.7,20.51475635092776,581.7333333333333,19.60223772666581,146.73333333333332,19.60223772666581,581.7333333333333,19.60223772666581,439.96666666666664,1.6770839315341257,0.11056117216746013,0.010390877329214428,0.10360721747080485,0.009951471921970366,0.0069539546966552734,0.0004710340103029478
30,5000,6,er,linear_sem,DF-PC (Pure),0.4457559563069173,0.02203832330993814,0.7568969162446483,0.026864715848837047,0.31841864336246356,0.020239100719491702,70.6,2.104700027770359,24769.333333333332,1375.0402711626039,15334.733333333334,983.4468004150764,14899.733333333334,983.4468004150764,15334.733333333334,983.4468004150764,9434.6,398.4610346480339,2.890536340077718,0.19084450349359397,2.5038347482681274,0.16955427585985405,0.3867015918095907,0.022005930900613424
30,5000,6,er,linear_sem,PC with deduce-dep,0.4456104918083624,0.021905453244239478,0.7565139548019041,0.026652936259753738,0.31841864336246367,0.020239100719491705,70.63333333333334,2.0791240271581954,24714.8,1373.2848796416954,17066.766666666666,877.9604471654067,16631.766666666666,877.9604471654067,17066.766666666666,877.9604471654067,7648.033333333334,520.7505165660872,2.9733964999516806,0.17463582708122022,2.860170674324036,0.1694264792365603,0.11322582562764485,0.0060868223212350876
30,5000,6,er,linear_sem,Standard PC,0.44519288107487803,0.021855193101810555,0.7563876921756415,0.026577245477734532,0.3180482729920932,0.02024289849801245,70.66666666666667,2.0681575638263787,24697.7,1373.0128597214784,16976.6,876.6383331735691,16541.6,876.6383331735691,16976.6,876.6383331735691,7721.1,521.3874601963715,2.7724313259124758,0.19407382443082719,2.6682599147160846,0.1881774167869298,0.10417141119639078,0.006316655007856283
30,5000,6,sf,discrete,DF-PC (Pure),0.39752354155890296,0.023464901099497677,0.8687126908162376,0.026970274050500377,0.26013053886352216,0.019364070258605683,59.3,1.9193649811941664,983.5,24.31783125160649,437.8666666666667,1.5057489627083653,2.8666666666666667,1.5057489627083653,437.8666666666667,1.5057489627083653,545.6333333333333,23.630596996721348,0.07167060375213623,0.0010264636773733536,0.06371378103892009,0.000914142522528411,0.007956822713216146,0.0002720979791494858
30,5000,6,sf,discrete,PC with deduce-dep,0.34708588672791285,0.023336592616484644,0.9896766095102009,0.00848815092841774,0.21224676968281644,0.01725166591064206,60.06666666666667,1.8556951130211077,938.7,10.880460630884608,503.0,10.672245150469704,68.0,10.672245150469704,503.0,10.672245150469704,435.7,1.0679690038121183,0.08837764263153076,0.00581929714291814,0.08168163299560546,0.005502295472722941,0.006696009635925293,0.000329519614659002
30,5000,6,sf,discrete,Standard PC,0.33986394347416504,0.021157581476223514,0.9936232612703202,0.00704620046187315,0.2064522951731896,0.015442888461591099,60.43333333333333,1.7268962879316259,937.7333333333333,10.506254545858647,500.53333333333336,9.749737158064365,65.53333333333333,9.749737158064367,500.53333333333336,9.749737158064365,437.2,1.1486474204697128,0.09436719417572022,0.008178274969774935,0.08764114379882812,0.007722138611210351,0.0067260503768920895,0.0004642999080664608
30,5000,6,sf,linear_sem,DF-PC (Pure),0.5361612965062028,0.020858156018838347,0.7986268806065175,0.024368652138167177,0.40520626372650054,0.019668277102795593,53.1,2.530959819751274,12922.133333333333,650.1210213653209,6975.4,419.49242972348173,6540.4,419.49242972348173,6975.4,419.49242972348173,5946.733333333334,334.9882492606917,1.2779216607411703,0.09208073779623001,1.0794589360555014,0.08406423407139907,0.19846272468566895,0.0109453337286347
30,5000,6,sf,linear_sem,PC with deduce-dep,0.5369933864995082,0.020753796306500767,0.8012616321388965,0.02518561812353009,0.4055897012613465,0.019585069115862195,52.96666666666667,2.50488844973062,12851.1,664.5747623347743,9533.1,502.63753958484637,9098.1,502.63753958484637,9533.1,502.63753958484637,3318.0,233.47830422428603,1.4671634435653687,0.11272015399520675,1.407491644223531,0.10866653995550524,0.05967179934183756,0.0042325318411030035
