Setup,Nodes,Samples,Deg,Graph,Data,Algo,F1_mean,F1_ci95,Prec_mean,Prec_ci95,Rec_mean,Rec_ci95,SHD_mean,SHD_ci95,Requests_mean,Requests_ci95,Actual_CIT_mean,Actual_CIT_ci95,Cond_CIT_mean,Cond_CIT_ci95,Performed_CITs_mean,Performed_CITs_ci95,Bypassed_CITs_mean,Bypassed_CITs_ci95,Time_Total_mean,Time_Total_ci95,Time_CIT_mean,Time_CIT_ci95,Time_Overhead_mean,Time_Overhead_ci95
SetupA_NodeScaling,10,5000,3,er,linear_sem,DF-PC (Pure),0.8709813855790868,0.02921892522092967,0.9395929995929996,0.02721523861441345,0.8155555555555557,0.03526432838627011,3.566666666666667,0.7788200525984817,789.5666666666667,63.82201892031569,417.8333333333333,45.74856183238769,372.8333333333333,45.74856183238769,417.8333333333333,45.74856183238769,371.73333333333335,25.62893601252497,0.22172939777374268,0.04564192492692741,0.2096484104792277,0.04488377672033655,0.012080987294514975,0.0012379529443205036
SetupA_NodeScaling,10,5000,3,er,linear_sem,Standard PC,0.8728010048699704,0.027836869096251056,0.9464733414733415,0.025437763605373455,0.8133333333333336,0.0339698671971887,3.5,0.7384650125176166,786.9666666666667,64.2563340618272,529.6,41.56487764015887,484.6,41.56487764015887,529.6,41.56487764015887,257.3666666666667,29.64655447303456,0.28415770530700685,0.07642869115228955,0.28003045717875164,0.07607800896401244,0.0041272481282552086,0.0004232132533636727
SetupA_NodeScaling,10,5000,3,sf,linear_sem,DF-PC (Pure),0.7164178431593292,0.028083148017096448,0.8834927164338929,0.028589917510828105,0.6063492063492063,0.03130361896392172,9.966666666666667,0.8839794730717792,995.9666666666667,86.42568691135534,553.9,62.71249114534658,508.9,62.71249114534658,553.9,62.71249114534658,442.06666666666666,29.187754127701524,0.224748961130778,0.04009011650234222,0.2083150863647461,0.03908068411640716,0.016433874766031902,0.0017040304446313214
SetupA_NodeScaling,10,5000,3,sf,linear_sem,Standard PC,0.7174300873294681,0.0283021676362685,0.889134639869934,0.029239240339746713,0.6047619047619047,0.030727908198790684,9.9,0.8981848362113446,990.3,85.08359618552844,697.5333333333333,58.240331018805826,652.5333333333333,58.240331018805826,697.5333333333333,58.240331018805826,292.76666666666665,31.22477305231509,0.2759238084157308,0.04032040059915267,0.27119993368784584,0.04001259704749595,0.004723874727884928,0.0003643863806900826
SetupA_NodeScaling,20,5000,3,er,linear_sem,DF-PC (Pure),0.8287284686451724,0.02299563083437075,0.9117258828128392,0.021786482241672657,0.7622222222222224,0.02779518106167274,9.366666666666667,1.1904918073195712,3347.733333333333,207.31683628140723,1734.0,140.86303232524162,1544.0,140.86303232524162,1734.0,140.86303232524162,1613.7333333333333,73.93052086977764,0.9236284891764323,0.16983785919550082,0.8740515947341919,0.16699305662596717,0.0495768944422404,0.0036758106261192683
SetupA_NodeScaling,20,5000,3,er,linear_sem,Standard PC,0.8312231168978478,0.02211642249693073,0.9208767973840435,0.01967532208780396,0.76,0.0273802158440715,9.166666666666666,1.1201676119792086,3320.266666666667,213.7738063451531,2257.4,135.0605522111701,2067.4,135.0605522111701,2257.4,135.0605522111701,1062.8666666666666,85.13732348420191,0.6911252260208129,0.10995481901068072,0.6757764418919882,0.1092042460285786,0.01534878412882487,0.0009908681672055933
SetupA_NodeScaling,20,5000,3,sf,linear_sem,DF-PC (Pure),0.5724289335332624,0.020868484978108736,0.8125924008795551,0.02147059134060442,0.444513811111303,0.02254305028130925,32.46666666666667,1.6215306897428052,5580.933333333333,402.8675859651208,3032.0,255.39888980937656,2842.0,255.39888980937656,3032.0,255.39888980937656,2548.9333333333334,160.1426376034982,1.3296738545099893,0.2889778863648473,1.2285324891408285,0.2806851362417828,0.10114136536916098,0.014009641158548069
SetupA_NodeScaling,20,5000,3,sf,linear_sem,Standard PC,0.5750334215274681,0.020331482420429065,0.8226983936701834,0.020944632188749965,0.44447296143810033,0.02195232429218294,32.13333333333333,1.591294400710252,5502.233333333334,404.61478995784177,4057.4666666666667,304.22586863632245,3867.4666666666667,304.22586863632245,4057.4666666666667,304.22586863632245,1444.7666666666667,127.79795281483518,1.5179010391235352,0.22090417078482646,1.4916667143503826,0.2191353333017174,0.02623432477315267,0.0021862915167464325
SetupA_NodeScaling,30,5000,3,er,linear_sem,DF-PC (Pure),0.8169483046092397,0.020147748876497916,0.8956737395905346,0.017298250143823527,0.7525925925925928,0.02512367757838558,15.066666666666666,1.5890729556057355,6826.0,462.0634043848572,3304.133333333333,280.3600165287209,2869.133333333333,280.3600165287209,3304.133333333333,280.3600165287209,3521.866666666667,202.09305170521054,1.1639373938242594,0.22363405375237408,1.0691133260726928,0.21888795926293622,0.09482406775156657,0.007509101687002382
SetupA_NodeScaling,30,5000,3,er,linear_sem,Standard PC,0.8206563143004177,0.020668060665517587,0.9065517582932839,0.01794368404605333,0.7511111111111113,0.02509472990478077,14.666666666666666,1.6285954270886613,6786.2,464.42847298499305,4610.633333333333,286.80757767115193,4175.633333333333,286.80757767115193,4610.633333333333,286.80757767115193,2175.5666666666666,219.27143336169087,1.340517274538676,0.19170887812244486,1.3068652550379436,0.18972870915628737,0.03365201950073242,0.0024142768740259375
SetupA_NodeScaling,30,5000,3,sf,linear_sem,DF-PC (Pure),0.569875378560435,0.023893612304931783,0.7945462096872205,0.02398550539490708,0.44742469506239985,0.025139457976141644,49.86666666666667,2.5885468223196186,12787.4,853.428507838877,6733.133333333333,476.4433074990438,6298.133333333333,476.4433074990438,6733.133333333333,476.4433074990438,6054.266666666666,500.1549615756304,2.415892004966736,0.32506697584908323,2.184794267018636,0.307526472523738,0.23109773794809976,0.0319037133292879
SetupA_NodeScaling,30,5000,3,sf,linear_sem,Standard PC,0.5700499307784762,0.023880813847507218,0.8006112628019803,0.024912233827060773,0.4460548320487012,0.025243888130508353,49.666666666666664,2.5741779329819727,12670.8,856.204190980461,9678.733333333334,777.9219201523683,9243.733333333334,777.9219201523683,9678.733333333334,777.9219201523683,2992.0666666666666,237.86627492055777,3.264593489964803,0.6083484822238918,3.207704265912374,0.6047631957398293,0.0568892240524292,0.004335056028315034
