Setup,Nodes,Samples,Deg,Graph,Data,Rep,Algo,F1,Prec,Rec,SHD,Requests,Actual_CIT,Cond_CIT,Performed_CITs,Bypassed_CITs,Time_Total,Time_CIT,Time_Overhead
SetupA_NodeScaling,10,5000,3,er,linear_sem,0,Standard PC,0.9655172413793104,1.0,0.9333333333333333,1.0,1016,676,631,676,340,0.7658090591430664,0.7599782943725586,0.0058307647705078125
SetupA_NodeScaling,10,5000,3,er,linear_sem,1,Standard PC,0.9285714285714286,1.0,0.8666666666666667,2.0,811,559,514,559,252,0.1634066104888916,0.15997910499572754,0.0034275054931640625
SetupA_NodeScaling,10,5000,3,er,linear_sem,2,Standard PC,0.7142857142857142,0.7692307692307693,0.6666666666666666,8.0,577,428,383,428,149,0.31955981254577637,0.3163259029388428,0.0032339096069335938
SetupA_NodeScaling,10,5000,3,er,linear_sem,3,Standard PC,0.8571428571428571,0.9230769230769231,0.8,4.0,589,415,370,415,174,0.45134639739990234,0.4473295211791992,0.004016876220703125
SetupA_NodeScaling,10,5000,3,er,linear_sem,4,Standard PC,0.896551724137931,0.9285714285714286,0.8666666666666667,3.0,1107,714,669,714,393,0.30570077896118164,0.30037450790405273,0.005326271057128906
SetupA_NodeScaling,10,5000,3,er,linear_sem,5,Standard PC,0.8148148148148148,0.9166666666666666,0.7333333333333333,5.0,821,496,451,496,325,0.404252290725708,0.3995785713195801,0.00467371940612793
SetupA_NodeScaling,10,5000,3,er,linear_sem,6,Standard PC,0.888888888888889,1.0,0.8,3.0,872,528,483,528,344,0.24560546875,0.2415771484375,0.0040283203125
SetupA_NodeScaling,10,5000,3,er,linear_sem,7,Standard PC,0.9655172413793104,1.0,0.9333333333333333,1.0,1048,705,660,705,343,0.7554812431335449,0.7487938404083252,0.0066874027252197266
SetupA_NodeScaling,10,5000,3,er,linear_sem,8,Standard PC,0.8000000000000002,0.8,0.8,6.0,1222,762,717,762,460,0.6131696701049805,0.6066083908081055,0.006561279296875
SetupA_NodeScaling,10,5000,3,er,linear_sem,9,Standard PC,0.9285714285714286,1.0,0.8666666666666667,2.0,815,698,653,698,117,0.7691957950592041,0.7632818222045898,0.005913972854614258
SetupA_NodeScaling,10,5000,3,er,linear_sem,10,Standard PC,0.9285714285714286,1.0,0.8666666666666667,2.0,765,474,429,474,291,0.07591772079467773,0.07265424728393555,0.0032634735107421875
SetupA_NodeScaling,10,5000,3,er,linear_sem,11,Standard PC,0.896551724137931,0.9285714285714286,0.8666666666666667,3.0,689,495,450,495,194,0.200028657913208,0.19603204727172852,0.003996610641479492
SetupA_NodeScaling,10,5000,3,er,linear_sem,12,Standard PC,0.8275862068965518,0.8571428571428571,0.8,5.0,786,562,517,562,224,0.16797137260437012,0.16318583488464355,0.0047855377197265625
